trial,in_mask,out_mask,count_zero,prob,abs_bias,z,exceeds_threshold,timestamp
1,95d889e64720d1ee0879008d436108f4,4576183f3f77d631e4e88caccb8f094b,24883,0.497660,0.002340,-1.046,0,2026-07-07T10:13:52
2,7ce91f0c11a8006c24bf67c0e59bf59d,797154a45cf7c379717a426f446b1bd5,25058,0.501160,0.001160,+0.519,0,2026-07-07T10:13:52
3,f65031005a243b96592d2d6aad5afb62,647d3359989b6c7518baa7115b2c69a8,25054,0.501080,0.001080,+0.483,0,2026-07-07T10:13:52
4,6ba91a4f4d3e85b7139e6026e9cfd694,9dced2505eb13d6ddd162104c0837661,25027,0.500540,0.000540,+0.241,0,2026-07-07T10:13:52
5,1b39a55a3a8c0507e73bd7baf6aaea2f,5859a4189569eacb33d8b58d5f8a7073,25012,0.500240,0.000240,+0.107,0,2026-07-07T10:13:53
6,57b8efb0ec13dc0bd4404854cf5de399,21e5f8daeb9eb9cbb2eb33b5515d0d88,24905,0.498100,0.001900,-0.850,0,2026-07-07T10:13:53
7,e5e4bf510f8f8ef56719716469a4b1a5,0d777bae0a9666336087b201ff74a605,24977,0.499540,0.000460,-0.206,0,2026-07-07T10:13:53
8,214b51c4bff8b1a7947eef76c2ad8fd8,208d7b91fdd15bef252db24e1d2a7cd4,24923,0.498460,0.001540,-0.689,0,2026-07-07T10:13:53
9,626096cddbc6bac28665af25fe041408,49309c8cd0d2c6ee7a038d362064f762,24945,0.498900,0.001100,-0.492,0,2026-07-07T10:13:54
10,30802464bea6020b969ccfb40d9e4aae,7b73fc1212f823332e791bd996fc5ec7,25209,0.504180,0.004180,+1.869,0,2026-07-07T10:13:54
11,c237452890e3466dd519fb4db531991f,bed3096e38d985702e3c39a9dbe606c0,24986,0.499720,0.000280,-0.125,0,2026-07-07T10:13:54
12,8388f7961127307b6c75e4e7d2c92dac,8a0320734472fc71c493db2970700e39,25037,0.500740,0.000740,+0.331,0,2026-07-07T10:13:54
13,16650dc472fadd4197684685aa2734f7,afcd40064ee246fa7b4e5405ee481e1e,24937,0.498740,0.001260,-0.563,0,2026-07-07T10:13:55
14,ef6bfb09fdae1efaa84881d206fc5979,f59ee6086f1e386efdbf72a8cb9f5589,25109,0.502180,0.002180,+0.975,0,2026-07-07T10:13:55
15,bdb73cdb7404fb09d55281855682fed6,4dbf47eecac2565586a596aa183fc2b6,25061,0.501220,0.001220,+0.546,0,2026-07-07T10:13:55
16,33a0914757134d6259edc6408b31d8c4,8807778120aa3a5ec755516cf07decfa,25084,0.501680,0.001680,+0.751,0,2026-07-07T10:13:55
17,93c97a5a139ff3b5b5ccd2bce336527e,2bc03802b63e9e5b4fe11474f65b2f7d,25030,0.500600,0.000600,+0.268,0,2026-07-07T10:13:56
18,39d2c72f4b1c9f4bbc92e477e41a4113,1a220dead9fc12f0eef347f7a4ac4474,24902,0.498040,0.001960,-0.877,0,2026-07-07T10:13:56
19,8fb357b1c0e776eac3096603233c589e,a2c37d4506a425d600fe12f9023b1e82,24875,0.497500,0.002500,-1.118,0,2026-07-07T10:13:56
20,4a0f503ba9f528100fed3ff1d8ba3ecf,e66fb2a979cf7df63aa7d16cc5e61b55,24992,0.499840,0.000160,-0.072,0,2026-07-07T10:13:57
21,43524e8d15469c8b9d3fb5f39f2300cd,1ce95136763399232f8a5ba0842d79ce,25113,0.502260,0.002260,+1.011,0,2026-07-07T10:13:57
22,5915f4febc4448da1ff649ba4815cbe2,6b296d17ad33bb31be3e6c0928ae0372,24775,0.495500,0.004500,-2.012,1,2026-07-07T10:13:57
23,0d28cf963acf09097003cda53f6f56e8,5862af0231aa9c7846a58b72ec12d2e1,25023,0.500460,0.000460,+0.206,0,2026-07-07T10:13:57
24,10f440ec6944d06f98aa2a1431f8e639,4f5e0460c5518805eff61a9973883d20,24990,0.499800,0.000200,-0.089,0,2026-07-07T10:13:58
25,2e92fca3fa8aeab6ad87ba9765f99fe6,60562035701fc53140d5b4823111a4c5,24886,0.497720,0.002280,-1.020,0,2026-07-07T10:13:58
