trial,in_mask,out_mask,count_zero,prob,abs_bias,exceeds_threshold,timestamp
1,13f6dddaca6aae5ffcc4c3bce2f4bd7b,38954a3c4aea18d64d965b6d4e1a917c,25076,0.501520,0.001520,0,2026-07-07T09:20:43
2,98f02103b6e495984ac005e24b377c83,127ecb115e012ec9df73641183512437,25120,0.502400,0.002400,0,2026-07-07T09:20:43
3,ec78cad642e62d49d073c6580adaad39,9fb13e9d0002c0309033222292a9518c,25044,0.500880,0.000880,0,2026-07-07T09:20:43
4,5f923513d57d6e05a7a094d001eda794,bf6a9176518788a83aca4fc9a8f217e3,25110,0.502200,0.002200,0,2026-07-07T09:20:44
5,7427038cc9ce4d2cf963cb1753269869,79f43c259c41b6462e806b449a47ddbc,25030,0.500600,0.000600,0,2026-07-07T09:20:44
6,ff30133329e99a59a3c347f8f9990a8d,76a572128948c25c4d9e525a96dea460,24986,0.499720,0.000280,0,2026-07-07T09:20:44
7,bc887aa3c29f7110ccdfe6172b6dd4bf,e5cc348668cfa008af8341e79e6cc865,24956,0.499120,0.000880,0,2026-07-07T09:20:44
8,501244cf6fea54b8579e2f3b210e8164,94013828d651053e3d85552f6579bce8,25088,0.501760,0.001760,0,2026-07-07T09:20:45
9,3c9e4c810c160047f6f088ae1855a841,7e47c4889ff88a63546218fab5c2068b,24939,0.498780,0.001220,0,2026-07-07T09:20:45
10,9f5f538911b358adb64a8230521ab176,a85a41a6470ccac25e3578408cc8b46a,24938,0.498760,0.001240,0,2026-07-07T09:20:45
11,86d353f421d478edccdbe0b5f1ab2973,52f68a8e7fe02bb5f6a35fbb89df476e,25075,0.501500,0.001500,0,2026-07-07T09:20:46
12,73fc4b1988d081bdffa05e09b886ca8c,918e67dde38f0d7a71c7a0e28ad9f0ea,25107,0.502140,0.002140,0,2026-07-07T09:20:46
13,d413d6df73fed2d2d1ed776db411dabf,64a982bbc0ba10a8d05391bad4c175d5,25060,0.501200,0.001200,0,2026-07-07T09:20:46
14,8cce7936067ead375623a0a69ff85881,0420c944c2c8d9bf389ce81f0959d614,25091,0.501820,0.001820,0,2026-07-07T09:20:46
15,696d7ae4a386a5825a812f65a46baee9,885eb990a24900c535f8bd37b1450167,25170,0.503400,0.003400,0,2026-07-07T09:20:47
16,5d4e3dad05b79d7dd9c4d66fc71805f5,44f0bc0d1867cf01d1ef55538301d8fa,24739,0.494780,0.005220,1,2026-07-07T09:20:47
17,74d7b08eb0ddd49a1c59686e9e6f7474,ad68a9ae8f85747b09d15784f4756da9,25179,0.503580,0.003580,0,2026-07-07T09:20:47
18,f532750b5e6fc5a99bba0d87988d7abf,add49cf4a3e8e7b78fdfcf1798bc6cef,24829,0.496580,0.003420,0,2026-07-07T09:20:48
19,ddce0ebf0ed8c0966e83371d7b7d7111,773f3e007f9f6454c2edbfc83314f471,25133,0.502660,0.002660,0,2026-07-07T09:20:48
20,f18daf49043b72a4a4668ae335b4d48e,9ae3975f5ce13bc7da0c63449b5d2e36,24965,0.499300,0.000700,0,2026-07-07T09:20:48
21,14eb88c38ea0b04741eaf9c5f97ed8ca,42aa37146163c80542ae7644cfd4840e,24921,0.498420,0.001580,0,2026-07-07T09:20:48
22,715267ca4aaf5841488a6b6f3c4c711f,607fa903e0a5ff8284afe78161b91bc6,24996,0.499920,0.000080,0,2026-07-07T09:20:49
23,a6f26002b169c89d9aaca98258cce1e7,4771f88210e4c9cf647df04168801d9a,24962,0.499240,0.000760,0,2026-07-07T09:20:49
24,96c1cfa0f052e49205de435926d38859,4b8988df69a0da006b7f868099298eb6,25085,0.501700,0.001700,0,2026-07-07T09:20:49
25,9cbd92267d046a729663ba051f133bc7,711a44fefad1958a7e0cc09d8f202faa,25146,0.502920,0.002920,0,2026-07-07T09:20:50
26,21aece48b3539cae6bb6dfa472b056bd,67756bea4b49a10a2fc5cd2d577d0a1a,25007,0.500140,0.000140,0,2026-07-07T09:20:51
27,3f781bf50bfc4a21fdb43ffc9d19e282,c2ab28fcaad5a33a4574752192bfef22,25029,0.500580,0.000580,0,2026-07-07T09:20:51
28,6793af649258d3b652201898af868578,432ccdcce3f3520914bf9003f266d3ca,24971,0.499420,0.000580,0,2026-07-07T09:20:52
29,ff1e7ab06a350b7bf273a02545c9c516,8807c98e8cd22984420ac73f309cbb6e,24915,0.498300,0.001700,0,2026-07-07T09:20:52
30,8dab4ae57ba6f955bfbe89c0fd86f2c1,884283003b415b231d14fcc175ffb2eb,25034,0.500680,0.000680,0,2026-07-07T09:20:53
31,695942e52c2a0be2a42d0950c24ffbb2,27723befb708b116be8df3a129dc1948,25192,0.503840,0.003840,0,2026-07-07T09:20:53
32,3fe6eda78e71373d6404dfe6543d49f9,94711f246ca171f3a9f0b6d03fd6d730,24890,0.497800,0.002200,0,2026-07-07T09:20:54
33,ed5cf07fddab8ea85277d21856d6ea04,6cb2f7f1c34f9816eb34ed01c5f0447d,24920,0.498400,0.001600,0,2026-07-07T09:20:55
34,6f283f836645010fa35d3a9c99506f7f,2701cd6bc2d5cd89cca8173992dae21f,24924,0.498480,0.001520,0,2026-07-07T09:20:55
35,78ca3763a2c1cfe66ef384311beaa670,e6e7a405b3c727e35f458d2175a201e7,25075,0.501500,0.001500,0,2026-07-07T09:20:56
36,b0fb096aff5fa889ee2843e0cbf7b4b2,46972ce805c873d89ca1358c289743d7,24886,0.497720,0.002280,0,2026-07-07T09:20:56
37,694b450f9c32010beac95a486d3f92e7,919061a89a2a776f6b28dc111e79f214,25040,0.500800,0.000800,0,2026-07-07T09:20:57
38,448fceaa723d0a78c9815bcd451eeb45,70ff1fd2639d4df41ae59e0ce5bd3c76,25020,0.500400,0.000400,0,2026-07-07T09:20:57
39,910c21e1c03b8496f64251cfddb80bc2,7b16f063f49a70fa584416ad396464e7,24913,0.498260,0.001740,0,2026-07-07T09:20:58
